                                    sIP,dPort,   Records,  %Records,   cumul_%,
                             10.0.40.21,  591,     57582, 82.483885, 82.483885,
                          192.168.181.8,   22,      6180,  8.852600, 91.336485,
                          192.168.181.8,   21,      6048,  8.663515,100.000000,
