     bytes,pro,   Records,sIP-Distin,dIP-Distin,
      5128,  1,         8,         2,         1,
      5488,  1,         4,         1,         1,
      5756,  1,         4,         1,         1,
      5844,  1,         4,         1,         1,
      6020,  1,         4,         1,         1,
